ds	icd
ds:H00762	Q74.8
ds:H00763	Q81.2
ds:H00764	Q93.4
ds:H00765	Q77.7
ds:H00766	E13
ds:H00767	Q77.7
ds:H00768	F78.9
ds:H00769	G25.8
ds:H00770	G70.2
ds:H00771	I73.8
ds:H00773	F78.9
ds:H00774	G60.8
ds:H00775	G43.1
ds:H00776	H55
ds:H00777	Q77.7
ds:H00778	Q74.8
ds:H00779	H35.5
ds:H00780	L72.8
ds:H00781	Q82.8
ds:H00783	G40.3
ds:H00783	G40.4
ds:H00784	L65.8
ds:H00785	Q87.8
ds:H00786	L65.9
ds:H00787	H53.6
ds:H00788	D61.0
ds:H00789	H19.8
ds:H00789	Q87.8
ds:H00790	Q82.8
ds:H00791	Q82.8
ds:H00792	Q04.3
ds:H00793	L81.6
ds:H00794	E30.1
ds:H00796	Q82.4
ds:H00797	Q87.8
ds:H00798	G56.0
ds:H00799	Q82.8
ds:H00800	I71.0
ds:H00801	I71.2
ds:H00802	Q79.6
ds:H00804	D21.9
ds:H00805	H35.5
ds:H00806	G40.3
ds:H00808	G40.3
ds:H00809	G40.1
ds:H00810	G40.3
ds:H00811	Q87.0
ds:H00811	Q74.3
ds:H00812	A59
ds:H00813	Q81.8
ds:H00814	H35.5
ds:H00815	D76.3
ds:H00816	G60.0
ds:H00817	Q18.8
ds:H00819	H35.5
ds:H00821	H35.3
ds:H00822	Q60.1
ds:H00825	H35.5
ds:H00826	Q10.3
ds:H00829	D23.3
ds:H00830	J84.8
ds:H00831	G24.1
ds:H00832	G23.0
ds:H00833	G23.0
ds:H00834	E72.8
ds:H00835	E72.8
ds:H00836	G93.4
ds:H00837	H35.5
ds:H00838	H49.8
ds:H00839	Q04.6
ds:H00839	G93.0
ds:H00841	G12.1
ds:H00841	G12.2
ds:H00843	E72.0
ds:H00844	Q82.8
ds:H00845	E85
ds:H00846	Q74.8
ds:H00847	Q87.2
ds:H00848	G11.3
ds:H00848	G60.2
ds:H00849	E72.8
ds:H00850	Q75.8
ds:H00851	Q70.9
ds:H00852	Q76.1
ds:H00853	Q78.4
ds:H00854	E13.8
ds:H00855	Q74.0
ds:H00856	G12.1
ds:H00856	G12.2
ds:H00858	Q84.0
ds:H00859	Q87.2
ds:H00860	G25.5
ds:H00861	Q45.0
ds:H00862	F95.2
ds:H00863	Q77.7
ds:H00864	F63.3
ds:H00865	Q68.8
ds:H00866	L67.8
ds:H00867	D69.8
ds:H00868	Q87.8
ds:H00869	E75.2
ds:H00870	Q73.8
ds:H00871	E75.2
ds:H00872	Q68.8
ds:H00873	Q87.5
ds:H00874	E75.2
ds:H00875	E75.2
ds:H00876	Z15
ds:H00877	I67.3
ds:H00878	E75.2
ds:H00880	L81.8
ds:H00881	Z15
ds:H00883	E75.5
ds:H00884	L81.8
ds:H00886	Q87.8
ds:H00889	Q87.8
ds:H00890	N46
ds:H00891	E88.8
ds:H00892	J47
ds:H00893	Q82.8
ds:H00894	Q87.8
ds:H00895	D36.9
ds:H00896	I89.8
ds:H00897	Q04.3
ds:H00898	G71.3
ds:H00899	E72.0
ds:H00900	Q87.1
ds:H00901	E72.0
ds:H00902	F80.9
ds:H00903	Q66.0
ds:H00905	E72.0
ds:H00907	Q87.8
ds:H00908	Q87.0
ds:H00909	Q35
ds:H00910	Q43.1
ds:H00912	R50
ds:H00913	E03.1
ds:H00915	Q85.1
ds:H00916	G47.3
ds:H00917	D64.4
ds:H00918	Q20.1
ds:H00919	Q27.8
ds:H00922	Q87.0
ds:H00923	E72.8
ds:H00925	E71.3
ds:H00926	Q87.8
ds:H00927	E78.6
ds:H00929	Q66.8
ds:H00930	E78.6
ds:H00931	D82.8
ds:H00931	E34.3
ds:H00933	K86.1
ds:H00934	Q87.8
ds:H00935	G90.8
ds:H00936	Q87.8
ds:H00937	E22.8
ds:H00937	E30.1
ds:H00938	D68.1
ds:H00939	D70
ds:H00940	Q87.8
ds:H00941	D68.2
ds:H00942	E13
ds:H00943	Q87.8
ds:H00945	D68.2
ds:H00946	Q87.8
ds:H00947	D23
ds:H00949	Q82.8
ds:H00950	Q89.7
ds:H00951	H18.5
ds:H00952	H18.5
ds:H00953	H18.5
ds:H00954	H18.5
ds:H00955	H18.5
ds:H00956	H18.5
ds:H00957	H18.5
ds:H00958	H18.5
ds:H00959	H18.5
ds:H00960	H18.5
ds:H00961	Q13.3
ds:H00962	D82.8
ds:H00963	H18.5
ds:H00964	E79.8
ds:H00965	Q87.1
ds:H00966	E79.8
ds:H00968	Q78.2
ds:H00970	G12.2
ds:H00971	H53.5
ds:H00972	Q87.8
ds:H00973	H53.8
ds:H00974	H35.5
ds:H00975	A08.0
ds:H00976	H53.5
ds:H00977	Q87.1
ds:H00978	D69.4
ds:H00979	Q76.0
ds:H00981	E56.0
ds:H00981	G11.1
ds:H00982	D64.0
ds:H00982	D64.3
ds:H00983	D68.8
ds:H00984	D81.6
ds:H00985	D81.6
ds:H00986	Q87.0
ds:H00987	Q87.8
ds:H00988	K90.8
ds:H00990	Q02
ds:H00991	Q87.1
ds:H00992	Q87.1
ds:H00993	Q87.1
ds:H00995	D68.4
ds:H00996	E77.8
ds:H00997	Q87.2
ds:H00998	G98
ds:H00999	G11.1
ds:H01001	Q04.3
ds:H01002	Q28.8
ds:H01003	E72.5
ds:H01004	D82.1
ds:H01005	G90.8
ds:H01006	D84.1
ds:H01007	D33.0
ds:H01008	Q87.8
ds:H01010	H35.5
ds:H01011	E23.6
ds:H01012	Q18
ds:H01015	H35.5
ds:H01017	Q82.0
ds:H01018	Q78.8
ds:H01019	I47.2
ds:H01020	H47.2
ds:H01022	E88.8
ds:H01023	D12.6
ds:H01025	D12.6
ds:H01026	Q60.4
ds:H01027	Q11
ds:H01028	E72.2
ds:H01029	Q13.4
ds:H01030	Q68.8
ds:H01031	I95.1
ds:H01032	E72.2
ds:H01033	Q55.4
ds:H01034	Q04.8
ds:H01035	Q87.8
ds:H01036	G11.1
ds:H01037	N13.7
ds:H01038	G11.0
ds:H01039	N98.1
ds:H01040	E03.1
ds:H01043	B73
ds:H01045	B65
ds:H01046	B79
ds:H01047	B69
ds:H01047	B68.0
ds:H01053	D59.5
ds:H01054	B85
ds:H01062	B39.9
ds:H01065	E74.8
ds:H01075	Q13.4
ds:H01076	E72.2
ds:H01078	D68.8
ds:H01079	E72.8
ds:H01085	B70.0
ds:H01090	B77
ds:H01091	B80
ds:H01092	B76.0
ds:H01092	B76.1
ds:H01093	B66.4
ds:H01095	Q70
ds:H01096	D55.2
ds:H01097	G80.9
ds:H01099	B75
ds:H01100	B78
ds:H01101	E78.9
ds:H01102	D44.8
ds:H01103	J43.9
ds:H01105	Q75.8
ds:H01106	D68.8
ds:H01107	B66.5
ds:H01109	B37.2
ds:H01110	J93.1
ds:H01111	E25.8
ds:H01113	E83.3
ds:H01114	Q13
ds:H01116	H31.2
ds:H01117	D89.8
ds:H01118	H49.4
ds:H01119	E72.8
ds:H01121	E71.3
ds:H01122	J84.0
ds:H01123	E71.3
ds:H01124	G40.8
ds:H01125	D58.1
ds:H01126	E74.8
ds:H01127	E88.8
ds:H01128	D81.0
ds:H01129	G71.8
ds:H01130	H35.4
ds:H01131	G54.5
ds:H01132	D61.0
ds:H01133	K74.5
ds:H01133	L94.0
ds:H01136	D84.1
ds:H01143	E55.0
ds:H01145	D50.8
ds:H01149	D31.1
ds:H01153	B67
ds:H01154	I45.6
ds:H01155	G60.0
ds:H01156	Q87.8
ds:H01158	L63.1
ds:H01159	Q13
ds:H01160	Q04.6
ds:H01161	G24.8
ds:H01162	D69.8
ds:H01163	E27.8
ds:H01168	D76.3
ds:H01170	G11.1
ds:H01172	G12.2
ds:H01174	P78.3
ds:H01175	A41.1
ds:H01176	B95
ds:H01176	N39
ds:H01177	G23.2
ds:H01180	H35.4
ds:H01182	E53.8
ds:H01183	D53.1
ds:H01184	G31.0
ds:H01186	E03.8
ds:H01189	E74.8
ds:H01190	D51.2
ds:H01191	J45
ds:H01193	M11.2
ds:H01194	Q77.3
ds:H01195	Q87.2
ds:H01196	D50.8
ds:H01198	E72.0
ds:H01199	E78.4
ds:H01200	G71.3
ds:H01201	H47.2
ds:H01201	H90.3
ds:H01202	H26
ds:H01202	Q12.0
ds:H01203	Q15.0
ds:H01204	G11.8
ds:H01206	L90.5
ds:H01207	Q75.0
ds:H01208	N46
ds:H01209	H91.9
ds:H01210	E83.4
ds:H01211	Q02
ds:H01213	K80
ds:H01213	K81.9
ds:H01214	D58.8
ds:H01215	Q87.3
ds:H01216	I42.8
ds:H01218	D70
ds:H01219	I42
ds:H01220	Q87.8
ds:H01221	H18.5
ds:H01222	Q85.9
ds:H01223	Q93.5
ds:H01226	Q70.4
ds:H01228	E11
ds:H01229	G71.8
ds:H01230	E75.2
ds:H01230	G35
ds:H01233	E70.8
ds:H01234	E88.8
ds:H01235	D69.8
ds:H01236	M11.1
ds:H01237	E72.1
ds:H01238	Q93.5
ds:H01239	E75.2
ds:H01240	D69.3
ds:H01241	Q79.0
ds:H01242	E72.3
ds:H01244	D81
ds:H01246	Q68.1
ds:H01247	G40.8
ds:H01250	K06.1
ds:H01251	Q04.8
ds:H01252	D52.8
ds:H01253	E23.6
ds:H01254	D68
ds:H01255	Q87.8
ds:H01256	Q14
ds:H01257	E72.8
ds:H01258	G40.4
ds:H01259	G60.8
ds:H01260	N07.6
ds:H01261	E74.3
ds:H01262	E70.8
ds:H01263	Q20.9
ds:H01264	K76.5
ds:H01265	Q87.8
ds:H01266	E50
ds:H01266	E67.1
