ds	drug	atc	icd
ds:H00021	dr:D03305	L03AB01	C64
ds:H00021	dr:D02749	NA	C64
ds:H00021	dr:D03218	L01XE17	C64
ds:H00021	dr:D09920	L01XE29	C64
ds:H00021	dr:D00343	L01AA06	C64
ds:H00021	dr:D06402	L01XE04	C64
ds:H00021	dr:D06409	L01XC07	C64
ds:H00021	dr:D00951	L02AB02	C64
ds:H00021	dr:D10316	L01XC17	C64
ds:H00021	dr:D01275	L01DB01	C64
ds:H00021	dr:D02745	L03AB05	C64
ds:H00021	dr:D01363	L01XA02	C64
ds:H00021	dr:D00125	L01CB01	C64
ds:H00021	dr:D02714	L04AA18	C64
ds:H00021	dr:D10095	L01XE26	C64
ds:H00022	dr:D00583	L01AC01	C67
ds:H00022	dr:D02697	L01DB09	C67
ds:H00022	dr:D01309	NA	C67
ds:H00022	dr:D02131	L01BC53	C67
ds:H00022	dr:D01416	NA	C67
ds:H00022	dr:D02908	L01XD04	C67
ds:H00022	dr:D10574	L01XC18	C67
ds:H00022	dr:D00208	L01DC03	C67
ds:H00022	dr:D02214	L01DB03	C67
ds:H00022	dr:D01155	L01BC05	C67
ds:H00022	dr:D01244	L01BC03	C67
ds:H00022	dr:D06466	L03AX03	C67
ds:H00022	dr:D10817	L01XC31	C67
ds:H00022	dr:D00275	L01XA01	C67
ds:H00022	dr:D10808	L01XC28	C67
ds:H00022	dr:D10316	L01XC17	C67
ds:H00022	dr:D00168	L01BC01	C67
ds:H00022	dr:D01275	L01DB01	C67
ds:H00022	dr:D01068	L01CA01	C67
ds:H00022	dr:D08386	L01DB08	C67
ds:H00022	dr:D00142	L04AX03	C67
ds:H00022	dr:D00125	L01CB01	C67
ds:H00022	dr:D10773	L01XC32	C67
ds:H00023	dr:D00214	L01DA01	C62
ds:H00023	dr:D01416	NA	C62
ds:H00023	dr:D04107	L01CB01	C62
ds:H00023	dr:D00343	L01AA06	C62
ds:H00023	dr:D00275	L01XA01	C62
ds:H00023	dr:D00491	L01CD01	C62
ds:H00023	dr:D01068	L01CA01	C62
ds:H00023	dr:D03229	L01DC01	C62
ds:H00023	dr:D01363	L01XA02	C62
ds:H00023	dr:D00125	L01CB01	C62
ds:H00023	dr:D02177	L01DC01	C62
ds:H00024	dr:D02116	L02AE05	C61
ds:H00024	dr:D02131	L01BC53	C61
ds:H00024	dr:D01239	S03BA02	C61
ds:H00024	dr:D04071	NA	C61
ds:H00024	dr:D06248	L02AE04	C61
ds:H00024	dr:D00554	L02AA03	C61
ds:H00024	dr:D00989	L02AE02	C61
ds:H00024	dr:D00573	L02AE03	C61
ds:H00024	dr:D07866	L01CD02	C61
ds:H00024	dr:D01299	G03DB06	C61
ds:H00024	dr:D01413	G03CA03	C61
ds:H00024	dr:D00961	L02BB03	C61
ds:H00024	dr:D00965	L02BB02	C61
ds:H00024	dr:D06397	L01XX11	C61
ds:H00024	dr:D09400	L02BX02	C61
ds:H00024	dr:D00586	L02BB01	C61
ds:H00024	dr:D09701	L02BX03	C61
ds:H00024	dr:D02063	NA	C61
ds:H00024	dr:D10398	V10XX03	C61
ds:H00024	dr:D10452	L01CD04	C61
ds:H00024	dr:D10218	L02BB04	C61
ds:H00024	dr:D00343	L01AA06	C61
ds:H00024	dr:D00275	L01XA01	C61
ds:H00024	dr:D00244	S03BA03	C61
ds:H00024	dr:D00979	H02AB04	C61
ds:H00024	dr:D00978	S02BA01	C61
ds:H00024	dr:D00292	S03BA01	C61
ds:H00024	dr:D02165	L01CD02	C61
ds:H00024	dr:D00975	S03BA01	C61
ds:H00024	dr:D00385	S01BA05	C61
ds:H00024	dr:D00983	S01BA05	C61
ds:H00024	dr:D02398	L01XX11	C61
ds:H00024	dr:D00472	S03BA02	C61
ds:H00024	dr:D00407	H02AB04	C61
ds:H00024	dr:D11040	L02BB05	C61
ds:H00026	dr:D00208	L01DC03	C54
ds:H00026	dr:D07866	L01CD02	C54
ds:H00026	dr:D00584	L01BC02	C54
